"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","3","","36","0","","0"
"0","API Automation Framework","0","POST APIs","6","0","Update test data using Builder Pattern, Factory, Faker and Parameterized","0"
"0","API Automation Framework","0","POST APIs","3","0","Update test data using Builder Pattern, Factory, Faker and MethodSource","0"
"0","API Automation Framework","0","POST APIs","6","0","Create test data using Builder Pattern, Factory, Faker and Parameterized","0"
"0","API Automation Framework","0","POST APIs","2","0","Create test data using Builder Pattern, Factory and Faker","0"
"0","API Automation Framework","0","POST APIs","3","0","Update POST using POJO payload","0"
"0","API Automation Framework","0","POST APIs","4","0","Create POST using POJO payload","0"
"0","API Automation Framework","0","POST APIs","6","0","","0"
"0","API Automation Framework","0","POST APIs","2","0","Create test data using Hybrid / Dynamic Approach","0"
"0","API Automation Framework","0","POST APIs","3","0","Create test data using Builder Pattern, Factory, Faker and MethodSource","0"
"0","Petstore API","0","User Tests","1","0","Check external site availability","0"
"0","API Automation Framework","0","POST APIs","1","0","Create POST using JSON payload","0"
